Time,Speed(MPH),Location,County,State,LAT,LON,Remarks,,
2207,UNK,1 NE MINFORD,SCIOTO,OH,38.87,-82.85,BARN DESTROYED AND TREES DOWN ALONG LUTHER RD. TIME ESTIMATED FROM RADAR. (ILN),,
2208,UNK,PORTSMOUTH,SCIOTO,OH,38.74,-82.99,OVER 200 TREES DOWN THROUGHOUT THE COUNTY. OVER A DOZEN HOMES IN THE COUNTY SUSTAINED DAMAGE DUE TO TREE IMPACTS. (ILN),,
2210,70,LUZERNE,BENTON,IA,41.91,-92.18,LUZERNE FIRE DEPARTMENT ESTIMATED WINDS 65 TO 70 MPH. RELAYED BY BENTON COUNTY EM. (DVN),,
2210,UNK,CAMBRIDGE,GUERNSEY,OH,40.02,-81.59,CLOCK TOWER DAMAGED ON COURTHOUSE... CHURCH COLLAPSED... AND SEVERAL OTHER STRUCTURES DAMAGED IN CAMBRIDGE. (PBZ),,
2210,UNK,CAMBRIDGE,GUERNSEY,OH,40.03,-81.59,NUMEROUS TREES DOWN (PBZ),,
2210,UNK,PORTSMOUTH,SCIOTO,OH,38.74,-82.99,TREE DOWN ON A HOUSE (ILN),,
2210,UNK,WEST LAFAYETTE,COSHOCTON,OH,40.27,-81.75,NUMEROUS TREES DOWN...POWER OUT (PBZ),,
2212,60,S WILLIAMSBURG,IOWA,IA,41.66,-92.01,TREES BREAKING...UNKNOWN SIZE AT THIS TIME. (DVN),,
2212,64,ATHENS,ATHENS,OH,39.31,-82.08,(RLX),,
2214,60,1 SSW BELLE PLAINE,BENTON,IA,41.89,-92.28,(DVN),,
2215,59,2 SW ALBANY,ATHENS,OH,39.21,-82.22,(RLX),,
2215,UNK,AUGUSTA,BRACKEN,KY,38.77,-84,TREES DOWN. (ILN),,
2215,UNK,BYESVILLE,GUERNSEY,OH,39.97,-81.54,ROOF BLOWN OFF HOUSE. (PBZ),,
2215,UNK,CARIBOU,AROOSTOOK,ME,46.86,-68.01,SCATTERED TREE DAMAGE THROUGHOUT CARIBOU. (CAR),,
2215,UNK,FALMOUTH,PENDLETON,KY,38.67,-84.33,LARGE TREES DOWN (ILN),,
2215,UNK,HIRAMSBURG,NOBLE,OH,39.81,-81.6,NUMEROUS 80 FOOT PINE TREES SNAPPED OFF AT AROUND 35-40 FEET (PBZ),,
2215,UNK,JACKSON,JACKSON,OH,39.05,-82.63,TWO FOOT DIAMERTER TREES DOWN IN JACKSON (RLX),,
2215,UNK,MCKINNEYSBURG,PENDLETON,KY,38.6,-84.27,NUMEROUS TREES DOWN NEAR MCKINNEYSBURG AND MORGAN (ILN),,
2215,UNK,NEWCOMERSTOWN,TUSCARAWAS,OH,40.27,-81.61,NUMEROUS TREES DOWN (PBZ),,
2215,UNK,SALESVILLE,GUERNSEY,OH,39.97,-81.34,TREES DOWN (PBZ),,
2216,90,MARENGO,IOWA,IA,41.8,-92.07,FROM IOWA COUNTY SHERIFF OFFICE (DVN),,
2217,UNK,BELLE PLAINE,BENTON,IA,41.9,-92.27,POWER POLE DOWN IN TOWN. ELECTRICITY OUT. WINDS OVER 40 MPH FOR OVER 10 MINUTES NOW. (DVN),,
2218,64,2 SE KEYSTONE,BENTON,IA,41.98,-92.17,RELAYED BY BENTON COUNTY EMERGENCY MANAGEMENT. (DVN),,
2218,UNK,FLEMINGSBURG,FLEMING,KY,38.42,-83.74,TREES AND POWER LINES DOWN COUNTYWIDE. (JKL),,
2219,75,W NORWAY,BENTON,IA,41.9,-91.93,ESTIMATED 65 TO 75 MPH. WINDS OVER 60 MPH NOW FOR OVER 5 MINUTES. (DVN),,
2220,UNK,BELLE PLAINE,BENTON,IA,41.9,-92.27,3 LIGHT POLES DOWN IN TOWN...NEAR 1304 15TH STREET. (DVN),,
2220,UNK,CAMBRIDGE,GUERNSEY,OH,40.02,-81.59,LARGE BRANCHES DOWN (PBZ),,
2220,UNK,KINNICONICK,LEWIS,KY,38.52,-83.34,TREES DOWN COUNTYWIDE. (ILN),,
2223,70,NEWHALL,BENTON,IA,41.99,-91.97,(DVN),,
2223,UNK,NELSONVILLE,ATHENS,OH,39.46,-82.23,LARGE TREE DOWN IN NELSONVILLE OHIO. POWER IS OUT. (RLX),,
2225,59,ALBANY,ATHENS,OH,39.22,-82.2,ASOS AT ALBANY AIRPORT MEASURED 51KT GUST (RLX),,
2225,UNK,CAMBRIDGE,GUERNSEY,OH,40.02,-81.59,TREE RIPPED ACROSS ROAD IN HALF (PBZ),,
2226,58,CEDAR RAPIDS MUNICIPAL,LINN,IA,41.88,-91.72,(DVN),,
2226,UNK,SENECAVILLE,GUERNSEY,OH,39.93,-81.46,MULTIPLE TREES DOWN (PBZ),,
2227,60,ATKINS,BENTON,IA,42,-91.86,ESTIMATED IN EXCESS OF 60 MPH. RELAYED BY BENTON COUNTY EMERGENCY MANAGEMENT. (DVN),,
2227,60,SE ATKINS,BENTON,IA,41.99,-91.86,(DVN),,
2227,UNK,CELINA,MERCER,OH,40.55,-84.57,ROOF OF STRUCTURE DAMAGED AND TREE DOWN ON CAMPER WITH ONE MINOR INJURY. EVENT OCCURRED AT FAIRGROUNDS. (ILN),,
2227,UNK,SW CEDAR RAPIDS,LINN,IA,41.97,-91.67,POWER OUTAGES IN SOUTHWEST CEDAR RAPIDS. DAMAGE TO KIRKWOOD COMMUNITY COLLEGE OUTDOOR STAGE. (DVN),,
2227,UNK,WHEELERSBURG,SCIOTO,OH,38.73,-82.85,STRUCTURAL DAMAGE. (ILN),,
2229,UNK,FREEPORT,HARRISON,OH,40.21,-81.27,TREES DOWN (PBZ),,
2230,UNK,CARLISLE,NICHOLAS,KY,38.31,-84.04,SEVERAL TREES DOWN ACROSS THE COUNTY WITH SOME BLOCKING ROADS. (LMK),,
2230,UNK,LITTLE HOCKING,WASHINGTON,OH,39.26,-81.7,LARGE TREES...UP TO 2 FEET IN DIAMETER...DOWN (RLX),,
2230,UNK,LUBECK,WOOD,WV,39.24,-81.63,SIDING... SHIGLES PEELED OFF OF HOUSES. (RLX),,
2230,UNK,MARIETTA,WASHINGTON,OH,39.42,-81.45,LARGE TREES DOWN (RLX),,
2230,UNK,OLD WASHINGTON,GUERNSEY,OH,40.04,-81.44,NUMEROUS STRUCTURAL DAMAGE. NUMEROUS TREES DOWN (PBZ),,
2232,UNK,MASON,MASON,WV,38.98,-82.03,TREES DOWN. (RLX),,
2232,UNK,WILLIAMSTOWN,WOOD,WV,39.4,-81.45,TREES 2 FEET IN DIAMETER DOWN... BLOCKED ROADS... POWER OUTAGE (RLX),,
2232,UNK,3 E PARKERSBURG,WOOD,WV,39.26,-81.49,MULTIPLE TREES DOWN... ENTRAPMENTS... POWER OUTAGE THROUGH0UT COUNTY (RLX),,
2234,65,3 E CEDAR RAPIDS,LINN,IA,41.97,-91.61,POWER IS OUT IN NORTHEAST CEDAR RAPIDS. (DVN),,
2235,70,1 NE MARION,LINN,IA,42.05,-91.58,WIND GUSTS ESTIMATED 60-70 MPH. (DVN),,
2235,UNK,4 N MOREHEAD,ROWAN,KY,38.25,-83.44,NUMEROUS TREES DOWN ON ROCK FORK ROAD AND HIGHWAY 377. (JKL),,
2236,UNK,MARION,LINN,IA,42.03,-91.59,REPORT OF 7 INCH DIAMETER TREE LIMBS DOWN. (DVN),,
2239,UNK,BELLE PLAINE,BENTON,IA,41.9,-92.27,LARGE TREE SNAPPED AND COVERING AN ENTIRE STREET IN TOWN...NEAR THE CORNER OF 13TH STREET AND 4TH AVENUE. (DVN),,
2240,70,CEDAR RAPIDS,LINN,IA,41.97,-91.67,ESTIMATED WIND GUST OF 70 MPH ON LINN BENTON RD. RELAYED BY LINN COUNTY EMERGENCY MANAGEMENT. (DVN),,
2240,70,1 W CENTER POINT,LINN,IA,42.19,-91.8,BRANCHES AND TREES DOWN. (DVN),,
2240,UNK,5 N CEDAR RAPIDS,LINN,IA,42.04,-91.68,10 INCH TREE BRANCH SNAPPED NEAR RESIDENCE...NUMEROUS POWER OUTAGES ALSO REPORTED...TIME ESTIMATED FROM RADAR. (DVN),,
2241,UNK,MARION,LINN,IA,42.03,-91.59,LARGE TREE DOWN ON 10TH AVE NEAR 17TH AND 18TH STREET IN TOWN...SEVERAL SMALLER BRANCHES DOWN...NUMEROUS POWER OUTAGES...TIME ESTIMATED FROM RADAR. (DVN),,
2241,UNK,NEW HAVEN,MASON,WV,38.99,-81.97,SPOTTER LOWELL ROGERS... ROOF DAMAGE... LARGE BRANCHES DOWN... POWER OUT (RLX),,
2241,UNK,OLIVE HILL,CARTER,KY,38.35,-83.18,TREES DOWN. (RLX),,
2243,70,CENTER POINT,LINN,IA,42.19,-91.78,AT LEAST 70 MPH. (DVN),,
2243,UNK,CENTER POINT,LINN,IA,42.19,-91.78,LARGE TREES DOWN. MINI VAN BLOWN OVER. (DVN),,
2243,UNK,FLATWOODS,GREENUP,KY,38.52,-82.72,LARGE TREES DOWN... SOME ON CARS (RLX),,
2245,UNK,CEDAR RAPIDS,LINN,IA,41.97,-91.67,LARGE TREE LIMBS DOWN. (DVN),,
2245,UNK,PARKERSBURG,WOOD,WV,39.26,-81.54,*** 1 INJ *** TREE FELL ON PERSON GETTING INTO VEHICLE AT ONSET OF STORM. PERSON HAS BEEN HOSPITALIZED. (RLX),,
2245,UNK,POINT PLEASANT,MASON,WV,38.85,-82.13,A STERNWHEELER NAMED THE GWENDYLEN SANK ON THE OHIO RIVER NEAR POINT PLEASANT. NO INJURIES OCCURED. (RLX),,
2245,UNK,RUSSELL,GREENUP,KY,38.51,-82.7,US 23 CURRENTLY CLOSED IN BOTH DIRECTION DUE TO DOWNED UTILITY POLES. (RLX),,
2245,UNK,SALT LICK,BATH,KY,38.12,-83.62,A COUPLE TREES BLOWN DOWN. (JKL),,
2246,65,5 S MARTELLE,JONES,IA,41.95,-91.36,WINDS OF 60 TO 65 MPH WINDS. REPORT RELAYED BY JONES COUNTY EMERGENCY MANAGER. (DVN),,
2247,UNK,RAVENSWOOD,JACKSON,WV,38.96,-81.76,BRIDGE IN RAVENSWOOD... WV WILL REMAIN CLOSED UNTIL FURTHER NOTICE DUE TO WIND DAMAGE (RLX),,
2248,60,CEDAR RAPIDS,LINN,IA,41.97,-91.67,WINDS ESTIMATED AT 60 MPH BEGAN 1730 AND WERE CONTINUING THROUGH 1748 PM CDT. (DVN),,
2249,UNK,POLKSVILLE,BATH,KY,38.14,-83.66,NUMEROUS TREES DOWN. (JKL),,
2249,UNK,SALT LICK,BATH,KY,38.12,-83.62,POWER LINES DOWN. (JKL),,
2250,68,2 S PRESTON,BATH,KY,38.06,-83.75,WIND GUST MEASURED ON HOME WEATHER STATION. NUMEROUS TREES DOWN AT THE RESIDENCE. (JKL),,
2250,UNK,3 SSE NORTH MIDDLETOWN,CLARK,KY,38.1,-84.09,*** 1 FATAL *** TREE FELL ON A MAN WHO WAS TRYING TO CLEAR THE ROAD OF SOME LIMBS THAT HAD FALLEN AFTER A GUST FRONT INITIALLY MOVED THROUGH THE AREA. (LMK),,
2250,UNK,4 NW MOUNT STERLING,MONTGOMERY,KY,38.1,-84,TREES AND POWER LINES DOWN ON US 460. (JKL),,
2251,UNK,HUNTINGTON,CABELL,WV,38.41,-82.43,WEST HUNTINGTON... MULTIPLE LARGE TREES DOWN. EST WINDS 40 PLUS MPH (RLX),,
2251,UNK,SPRINGVILLE,LINN,IA,42.06,-91.44,LARGE 16 INCH DIAMETER TREE SNAPPED ON THE GROUND NEAR 4TH STREET AND MILL AVE IN TOWN...TIME ESTIMATED FROM RADAR. (DVN),,
2252,80,SPRINGVILLE,LINN,IA,42.06,-91.44,RELAYED BY LINN COUNTY EMERGENCY MANAGEMENT. (DVN),,
2254,UNK,SPRINGVILLE,LINN,IA,42.06,-91.44,OFF DUTY NWS EMPLOYEE REPORTED WIDESPREAD 6 TO 7 INCH TREE LIMBS DOWN IN TOWN. (DVN),,
2255,UNK,CENTRAL CITY,LINN,IA,42.2,-91.52,REPORT FROM THE LINN COUNTY FAIRGROUNDS OF WIDESPREAD TENTS BLOWN OVER WITH SOME DAMAGE TO CARNIVAL EQUIPMENT. (DVN),,
2255,UNK,LEXINGTON,FAYETTE,KY,38.04,-84.46,SEVERAL TREES DOWN ACROSS THE COUNTY WITH SOME BLOCKING ROADS. THE TREES WERE AS LARGE AS 14 INCHES IN DIAMETER. (LMK),,
2255,UNK,NEW MARTINSVILLE,WETZEL,WV,39.64,-80.86,NUMEROUS TREES DOWN (PBZ),,
2255,UNK,SANDY HOOK,ELLIOTT,KY,38.09,-83.12,TREES DOWN AND POWER OUTAGES COUNTYWIDE. (JKL),,
2258,UNK,BETHESDA,BELMONT,OH,40.02,-81.07,TREES DOWN. ROOF DAMAGE (PBZ),,
2259,UNK,PORTERS FALLS,WETZEL,WV,39.58,-80.78,NUMEROUS TREES DOWN (PBZ),,
2259,UNK,PROCTOR,WETZEL,WV,39.71,-80.82,NUMEROUS TREES DOWN (PBZ),,
2300,72,N CEDAR RAPIDS,LINN,IA,41.98,-91.67,RWIS SITE (DVN),,
2300,UNK,ELIZABETH,WIRT,WV,39.06,-81.4,FRONT PORCH RIPPED OFF OF A HOUSE. SEVERAL LARGE TREES UPROOTED. POWER POLE IN ROAD ON ROUTE 14. (RLX),,
2300,UNK,EZEL,MORGAN,KY,37.89,-83.44,NUMEROUS TREES DOWN IN AND AROUND EZEL. (JKL),,
2300,UNK,NNW SPRINGVILLE,LINN,IA,42.06,-91.45,LARGE MAPLE TREE BROKEN OFF. (DVN),,
2300,UNK,STEUBENVILLE,JEFFERSON,OH,40.37,-80.63,LARGE BRANCHES BROKEN (PBZ),,
2300,UNK,2 SSW ANAMOSA,JONES,IA,42.08,-91.3,NUMEROUS LIMBS DOWN...10 INCH TREE DOWN ON PASTURE FENCE...5 INCH LIMB DOWN IN FRONT YARD. (DVN),,
2303,UNK,PROCTORVILLE,LAWRENCE,OH,38.49,-82.35,TREES DOWN. EVENT OCCURRED BETWEEN 650 (RLX),,
2304,UNK,WELLINGTON,MENIFEE,KY,37.92,-83.5,DEPUTY DIRECTOR REPORTS TREES AND POWER LINES DOWN THROUGHOUT MENIFEE COUNTY. FIRST REPORTS CAME IN SHORTLY AFTER 7 PM FROM AROUND THE WELLINGTON AND BIG WOODS AREA. (JKL),,
2305,UNK,CHARLESTON,KANAWHA,WV,38.35,-81.63,POWER OUT AT AIRPORT... AIRPLANE FLIPPED OVER BY WIND. (RLX),,
2305,UNK,2 ESE HURRICANE,PUTNAM,WV,38.43,-81.98,JAMIE BIELINSKI REPORTS HEALTHY TREE... 1 FOOT IN DIAMETER DOWN. (RLX),,
2305,UNK,2 W TEAYS VALLEY,PUTNAM,WV,38.45,-81.97,LARGE TREES DOWN... DAMAGE TO HOME (RLX),,
2308,UNK,READER,WETZEL,WV,39.57,-80.73,DEBRIS AND TREES DOWN ON RAILROAD TRACKS IN READER... NUMEROUS TREES DOWN ACROSS THE COUNTY. (PBZ),,
2308,UNK,STANTON,POWELL,KY,37.85,-83.86,ROOF DAMAGE ON HOUSE IN STANTON. TREES AND POWER LINES DOWN COUNTYWIDE. (JKL),,
2310,58,3 NNW WINCHESTER,CLARK,KY,38.03,-84.21,OBSERVED AT THE CLARK COUNTY MESONET STATION 3 MILES NORTHWEST OF WINCHESTER. (LMK),,
2310,70,CHARLESTON,KANAWHA,WV,38.35,-81.63,(RLX),,
2310,UNK,ANAMOSA,JONES,IA,42.11,-91.28,NUMEROUS TREES DOWN IN ANAMOSA. (DVN),,
2310,UNK,EZEL,MORGAN,KY,37.89,-83.44,NUMEROUS TREES DOWN IN AND AROUND EZEL. (JKL),,
2310,UNK,LIMESTONE,MARSHALL,WV,39.94,-80.65,NUMEROUS TREES AND POWER LINES DOWN (PBZ),,
2310,UNK,REDBUSH,JOHNSON,KY,37.94,-82.95,SEVERAL TREES DOWN ON HIGHWAYS 172 AND 3214 WITH THE INITIAL GUST FRONT. (JKL),,
2310,UNK,ST. ALBANS,KANAWHA,WV,38.38,-81.82,18 INCH DIAMETER WALNUT TREE UPROOTED (RLX),,
2310,UNK,STANTON,POWELL,KY,37.85,-83.86,TREES DOWN COUNTYWIDE. (JKL),,
2310,UNK,WEST LIBERTY,MORGAN,KY,37.91,-83.27,TREES DOWN IN AND AROUND TOWN. (JKL),,
2310,UNK,WINCHESTER,CLARK,KY,38,-84.19,TREES AND POWER LINES DOWN ACROSS THE COUNTY. (LMK),,
2312,78,3 NE CHARLESTON,KANAWHA,WV,38.38,-81.6,DAMAGE TO A HANGAR AT YEAGER AIRPORT (RLX),,
2313,70,6 WSW CHARLESTON,KANAWHA,WV,38.32,-81.73,REPORTED AT NWS OFFICE. (RLX),,
2315,UNK,BELLE,KANAWHA,WV,38.23,-81.54,METAL ROOF BLOWN OFF DETACHED GARAGE. SEVERAL TREES DOWN AS WELL (RLX),,
2315,UNK,BELLE,KANAWHA,WV,38.23,-81.54,NUMEROUS TREES DOWN. ROOF DAMAGE TO A CHURCH (RLX),,
2316,UNK,CULLODEN,CABELL,WV,38.42,-82.07,36 INCH TREES BROKEN AND DOWN... TREES ON HILLSIDE ALL APPEAR TO BE DOWN (RLX),,
2317,UNK,2 N ROGERS,WOLFE,KY,37.77,-83.64,TREE DOWN ON MILLER RIDGE ROAD. (JKL),,
2318,UNK,TOLIVER,WOLFE,KY,37.81,-83.46,ONE TREE DOWN. (JKL),,
2318,UNK,WESTON,LEWIS,WV,39.03,-80.51,LARGE BRANCHES BROKEN. EVENT OCCURRED 713 PM 06/29/2012 (RLX),,
2319,UNK,2 NE CAMPTON,WOLFE,KY,37.76,-83.52,TREE DOWN AT THE JUNCTION OF HIRAM BRANCH ROAD AND HIGHWAY 746. (JKL),,
2320,UNK,BRILLIANT,JEFFERSON,OH,40.26,-80.63,NUMEROUS LARGE TREES BLOWN DOWN. (PBZ),,
2320,UNK,MOUNT PLEASANT,JEFFERSON,OH,40.18,-80.8,NUMEROUS LARGE TREES BLOWN DOWN. (PBZ),,
2320,UNK,TILTONSVILLE,JEFFERSON,OH,40.17,-80.7,NUMEROUS LARGE TREES BLOWN DOWN. (PBZ),,
2320,UNK,7 N MEDWAY,PENOBSCOT,ME,45.71,-68.53,REPORT OF TREES DOWN ON POWERLINES (CAR),,
2321,UNK,CAMERON,MARSHALL,WV,39.83,-80.57,NUMEROUS TREES AND POWERLINES DOWN ACROSS THE COUNTY. (PBZ),,
2321,UNK,HUNDRED,WETZEL,WV,39.68,-80.46,NUMEROUS TREES DOWN (PBZ),,
2322,UNK,3 NE FORT FAIRFIELD,AROOSTOOK,ME,46.8,-67.79,EXTENSIVE TREE DAMAGE AT AND WITHIN A MILE OF AROOSTOOK VALLEY COUNTRY CLUB. DOZENS OF TREES DOWNED,MANY BEING LARGE AND OLD. WINDS ESTIMATED 60-70 MPH RESULTING FROM (CAR),
2323,UNK,1 E PAINTSVILLE,JOHNSON,KY,37.82,-82.79,WIND ROLLED AND DEMOLISHED SHED. (JKL),,
2324,UNK,BRIDGEPORT,HARRISON,WV,39.29,-80.26,LARGE TREES DOWN... ROOF DAMAGE ON HOMES (RLX),,
2325,UNK,IRVINE,ESTILL,KY,37.7,-83.97,TREES DOWN IN TOWN AND THROUGHOUT THE COUNTY. (JKL),,
2325,UNK,PAINTSVILLE,JOHNSON,KY,37.82,-82.81,TREES DOWN IN DOWNTOWN PAINTSVILLE. (JKL),,
2325,UNK,WHEELING,OHIO,WV,40.06,-80.72,*** 1 INJ *** TREES DOWN THROUGHOUT THE COUNTY. (PBZ),,
2329,UNK,LOUISA,LAWRENCE,KY,37.98,-82.59,TREES DOWN. EVENT OCCURRED BETWEEN 714 PM (RLX),,
2330,UNK,ELKVIEW,KANAWHA,WV,38.43,-81.47,TREES ARE ALL DOWN IN A STRAIGHT LINE ON BIG FORK RD. (RLX),,
2330,UNK,INEZ,MARTIN,KY,37.87,-82.54,SEVERAL TREES DOWN AND POWER OUTAGES. (JKL),,
2330,UNK,WESTON,LEWIS,WV,39.04,-80.47,MEASURED WIND AT 73MPH... LARGE TREES... 2FT IN DIAMETER... DOWN (RLX),,
2334,UNK,FAIRMONT,MARION,WV,39.48,-80.14,TREES DOWN (PBZ),,
2336,UNK,PRESTONSBURG,FLOYD,KY,37.67,-82.77,NUMEROUS CALLS OF TREES AND POWERLINES DOWN. (JKL),,
2338,UNK,WASHINGTON,WASHINGTON,PA,40.17,-80.25,LARGE BRANCHES BROKEN (PBZ),,
2342,93,TURKEY CREEK,PIKE,KY,37.67,-82.31,WIND GUST MEASURED BY HOME WEATHER STATION WITH ANEMOMETER 18 FEET ABOVE THE GROUND. SEVERAL LARGE TREES UP TO 36 INCHES IN DIAMETER BLOWN DOWN. (JKL),,
2343,UNK,CHENOWEE,BREATHITT,KY,37.54,-83.48,TREES DOWNED 2.3 MILES NORTH OF HWY 52. (JKL),,
2343,UNK,CHENOWEE,BREATHITT,KY,37.54,-83.48,TREES DOWNED ON HWY 52. (JKL),,
2345,UNK,CARIBOU,AROOSTOOK,ME,46.86,-68.01,TREES DOWN ON THE GRIMES ROAD BETWEEN CARIBOU AND FORT FAIRFIELD. TIME IS ESTIMATED. (CAR),,
2345,UNK,MORGANTOWN,MONONGALIA,WV,39.63,-79.96,3 TREES DOWN...MARION ROAD...WARM HALLOW ROAD...STONE MINE ROAD (PBZ),,
2345,UNK,1 N ELNA,JOHNSON,KY,37.93,-82.97,TREE FELL ON HOUSE CAUSING MINOR DAMAGE. (JKL),,
2345,UNK,3 ESE CARIBOU,AROOSTOOK,ME,46.85,-67.95,TREES DOWN ON THE GRIMES ROAD BETWEEN CARIBOU AND FORT FAIRFIELD. TIME IS ESTIMATED. (CAR),,
2345,UNK,3 NE SIDNEY,PIKE,KY,37.65,-82.32,TREES DOWN WITH ONE TREE HOLDING THREE OTHERS BACK ABOUT TO FALL ON ROAD AND HOMES. (JKL),,
2345,UNK,5 E CHESTER,PENOBSCOT,ME,45.41,-68.4,TREE AND POWER LINES DOWN. (CAR),,
2347,UNK,MORGANTOWN,MONONGALIA,WV,39.63,-79.96,LARGE BRANCHES BROKEN (PBZ),,
2347,UNK,MORGANTOWN,MONONGALIA,WV,39.63,-79.96,TREES DOWN (PBZ),,
2347,UNK,MORGANTOWN,MONONGALIA,WV,39.64,-79.95,TREES DOWN (PBZ),,
2347,UNK,6 S MORGANTOWN,MONONGALIA,WV,39.54,-79.96,TREE DOWN (PBZ),,
2349,UNK,4 N LOGAN,LOGAN,WV,37.91,-81.99,LARGE TREES DOWN (RLX),,
2350,UNK,BALDWIN,ALLEGHENY,PA,40.34,-79.98,TREES DOWN (PBZ),,
2350,UNK,RICES LANDING,GREENE,PA,39.95,-80,LARGE TREES BLOWN DOWN. (PBZ),,
2351,UNK,2 SW IMPERIAL,ALLEGHENY,PA,40.43,-80.27,TREES DOWN (PBZ),,
2355,60,5 NNE LEWISBURG,GREENBRIER,WV,37.87,-80.41,THIS WIND GUST WAS MEASURED WITH HOME WEATHER EQUIPMENT. (RNK),,
2355,UNK,WORTHINGTON,MARION,WV,39.46,-80.26,*** 1 INJ *** MOBILE HOME SLID OFF ITS FOUNDATION. (PBZ),,
2355,UNK,5 NNE LEWISBURG,GREENBRIER,WV,37.87,-80.41,A FEW LARGE TREES WERE BLOWN DOWN ALONG HWY 219. (RNK),,
2357,UNK,3 NNE SHADE GAP,HUNTINGDON,PA,40.22,-77.84,TREES REPROTED DOWN ACROSS ROAD IN TELL TOWNSHIP. (CTP),,
2358,UNK,VALLEY BEND,RANDOLPH,WV,38.8,-79.92,LARGE BRANCHES BROKEN. EVENT OCCURRED 758 PM ON 6/29/2012 (RLX),,
2358,UNK,1 S MCANDREWS,PIKE,KY,37.55,-82.27,TREES DOWN ON POND CREEK ROAD. (JKL),,
2358,UNK,2 N RACCOON,PIKE,KY,37.52,-82.44,TREES AND POWER LINES DOWN AND ON FIRE ON MAYNARD DRIVE. (JKL),,
2359,UNK,KINGWOOD,PRESTON,WV,39.47,-79.68,NUMEROUS TREES DOWN (PBZ),,
2359,UNK,MORGANTOWN,MONONGALIA,WV,39.63,-79.96,56 TREES DOWN ACROSS THE COUNTY. (PBZ),,
0,UNK,BALDWIN,ALLEGHENY,PA,40.34,-79.98,MULTIPLE REPORTS OF TREES DOWN ACROSS THE FAR SOUTHERN PORTIONS OF THE COUNTY. (PBZ),,
0,UNK,CHLOE,PIKE,KY,37.45,-82.48,POWER LINE DOWN AND ON FIRE ON CHLOE ROAD. (JKL),,
0,UNK,MOUTHCARD,PIKE,KY,37.38,-82.25,THE ROOF WAS PARTIALLY TORN FROM THE HOUSE. (JKL),,
0,UNK,RAINELLE,GREENBRIER,WV,37.97,-80.78,TREES DOWN ON RT 20 (RNK),,
1,UNK,RUPERT,GREENBRIER,WV,37.95,-80.68,SEVERAL TREES BLOWN DOWN ON ANJEAN ROAD...U.S. HIGHWAY 60...AND ROUTE 20. (RNK),,
2,UNK,NEEDMORE,FULTON,PA,39.86,-78.15,TREES AND WIRES REPORTED DOWN NEAR NEEDMORE. (CTP),,
3,UNK,1 W PAINTSVILLE,JOHNSON,KY,37.82,-82.83,WIND MEASURED AT 68 MPH USING A HOME WEATHER STATION. SEVERAL TREES DOWNED. (JKL),,
4,UNK,LAUREL RUN,PRESTON,WV,39.65,-79.72,NUMEROUS TREES DOWN (PBZ),,
5,UNK,DOROTHY,RALEIGH,WV,37.95,-81.45,TREES AND POWERLINES DOWN IN NW PART OF COUNTY. (RLX),,
5,UNK,REEDSVILLE,PRESTON,WV,39.51,-79.8,TREES DOWN AND A GARAGE DESTROYED. (PBZ),,
5,UNK,WEST NEWTON,WESTMORELAND,PA,40.21,-79.77,TREES DOWN ON ROUTE 20 (PBZ),,
6,UNK,SAINT GEORGE,TUCKER,WV,39.17,-79.7,NUMEROUS TREES DOWN COUNTY WIDE (PBZ),,
7,UNK,GHENT,RALEIGH,WV,37.61,-81.1,LARGE BRANCHES BROKEN. EVENT OCCURRED BETWEEN 752 PM (RLX),,
7,UNK,SHELBIANA,PIKE,KY,37.43,-82.49,TREE DOWN. SPOTTER ESTIMATED WINDS SUSTAINED AT 50 MPH WITH GUSTS TO 70 MPH. (JKL),,
8,UNK,BECKLEY,RALEIGH,WV,37.79,-81.19,2 FOOT DIAMETER TREE DOWN IN BECKLEY (RLX),,
8,UNK,TERRA ALTA,PRESTON,WV,39.44,-79.54,NUMEROUS TREES DOWN (PBZ),,
10,UNK,ELKINS,RANDOLPH,WV,38.93,-79.85,RANDOLPH COUNTY EMERGENCY MGT CALLED TO REPORT REPORTS OF ABOUT 250 TREES DOWN...NUMEROUS POWER LINES DOWN WITH AT LEAST 14000 PEOPLE WITHOUT POWER. SEVERAL PEOPLE STRA (RLX),,
10,UNK,FEDSCREEK,PIKE,KY,37.4,-82.25,SEVERAL TREES BLOWN DOWN. (JKL),,
10,UNK,HINTON,SUMMERS,WV,37.67,-80.9,NUMEROUS TREES DOWN ACROSS THE COUNTY. MOST COUNTY ROADS EXPERIECED TREES BLOWN ACROSS THEM. ONE CHURCH IN HINTON HAD A PORTION OF ITS ROOF PEELED OFF FROM THUNDERSTORM (RNK),,
10,UNK,PINEVILLE,WYOMING,WV,37.56,-81.53,TREES DOWN. (RLX),,
10,UNK,2 NE TALCOTT,SUMMERS,WV,37.67,-80.72,STRONG WINDS CAUSED MINOR DAMAGE TO A HOME...WITH ROOF SHINGLES BLOWN DOWN AND PORCH SCREENS BLOWN IN. A LARGE LIMB WAS BLOWN OUT OF A NEARBY TREE. (RNK),,
11,UNK,BECKLEY,RALEIGH,WV,37.79,-81.19,NUMEROUS TREES DOWN IN THE COUNTY. POWER OUT COUNTY WIDE. (RLX),,
